departure_time,origin_station_id,origin_name,origin_lat,origin_lon,dest_station_id,dest_name,dest_lat,dest_lon,distance_meters,duration_seconds,duration_minutes,duration_in_traffic_seconds,duration_in_traffic_minutes,status
2025-12-18 15:00:00,8589141,"Fribourg, Chaley",46.805855,7.175769,8589152,"Fribourg, Mon-Repos",46.806576,7.172542,285,36,0.6,43,0.72,OK
2025-12-18 15:00:00,8589141,"Fribourg, Chaley",46.805855,7.175769,8589138,"Fribourg, Cité-Jardins",46.809219,7.170362,688,86,1.43,129,2.15,OK
2025-12-18 15:00:00,8589141,"Fribourg, Chaley",46.805855,7.175769,8591766,"Fribourg, Boschung",46.811443,7.171201,1049,137,2.28,177,2.95,OK
2025-12-18 15:00:00,8589141,"Fribourg, Chaley",46.805855,7.175769,8587255,"Fribourg, Tilleul/Cathédrale",46.806136,7.161448,3822,450,7.5,506,8.43,OK
2025-12-18 15:00:00,8589141,"Fribourg, Chaley",46.805855,7.175769,8589161,"Fribourg, St-Pierre",46.803873,7.157458,4209,521,8.68,578,9.63,OK
2025-12-18 15:00:00,8589141,"Fribourg, Chaley",46.805855,7.175769,8592374,"Fribourg/Freiburg, Pl. Gare",46.803615,7.151538,4552,640,10.67,659,10.98,OK
2025-12-18 15:00:00,8589141,"Fribourg, Chaley",46.805855,7.175769,8589130,"Villars-sur-Glâne, Méridienne",46.794403,7.111792,9408,797,13.28,874,14.57,OK
2025-12-18 15:00:00,8589141,"Fribourg, Chaley",46.805855,7.175769,8589131,"Villars-sur-Glâne, Moncor",46.797789,7.119964,8724,717,11.95,797,13.28,OK
2025-12-18 15:00:00,8589141,"Fribourg, Chaley",46.805855,7.175769,8588344,"Villars-sur-Glâne, Belle-Croix",46.795775,7.124121,8663,759,12.65,827,13.78,OK
2025-12-18 15:00:00,8589152,"Fribourg, Mon-Repos",46.806576,7.172542,8589141,"Fribourg, Chaley",46.805855,7.175769,264,33,0.55,36,0.6,OK
2025-12-18 15:00:00,8589152,"Fribourg, Mon-Repos",46.806576,7.172542,8589138,"Fribourg, Cité-Jardins",46.809219,7.170362,401,50,0.83,78,1.3,OK
2025-12-18 15:00:00,8589152,"Fribourg, Mon-Repos",46.806576,7.172542,8591766,"Fribourg, Boschung",46.811443,7.171201,762,101,1.68,135,2.25,OK
2025-12-18 15:00:00,8589152,"Fribourg, Mon-Repos",46.806576,7.172542,8587255,"Fribourg, Tilleul/Cathédrale",46.806136,7.161448,3535,414,6.9,467,7.78,OK
2025-12-18 15:00:00,8589152,"Fribourg, Mon-Repos",46.806576,7.172542,8589161,"Fribourg, St-Pierre",46.803873,7.157458,3922,485,8.08,541,9.02,OK
2025-12-18 15:00:00,8589152,"Fribourg, Mon-Repos",46.806576,7.172542,8592374,"Fribourg/Freiburg, Pl. Gare",46.803615,7.151538,4264,604,10.07,619,10.32,OK
2025-12-18 15:00:00,8589152,"Fribourg, Mon-Repos",46.806576,7.172542,8589130,"Villars-sur-Glâne, Méridienne",46.794403,7.111792,9121,761,12.68,832,13.87,OK
2025-12-18 15:00:00,8589152,"Fribourg, Mon-Repos",46.806576,7.172542,8589131,"Villars-sur-Glâne, Moncor",46.797789,7.119964,8436,681,11.35,755,12.58,OK
2025-12-18 15:00:00,8589152,"Fribourg, Mon-Repos",46.806576,7.172542,8588344,"Villars-sur-Glâne, Belle-Croix",46.795775,7.124121,8376,723,12.05,784,13.07,OK
2025-12-18 15:00:00,8589138,"Fribourg, Cité-Jardins",46.809219,7.170362,8589141,"Fribourg, Chaley",46.805855,7.175769,668,86,1.43,100,1.67,OK
2025-12-18 15:00:00,8589138,"Fribourg, Cité-Jardins",46.809219,7.170362,8589152,"Fribourg, Mon-Repos",46.806576,7.172542,401,53,0.88,63,1.05,OK
2025-12-18 15:00:00,8589138,"Fribourg, Cité-Jardins",46.809219,7.170362,8591766,"Fribourg, Boschung",46.811443,7.171201,360,50,0.83,67,1.12,OK
2025-12-18 15:00:00,8589138,"Fribourg, Cité-Jardins",46.809219,7.170362,8587255,"Fribourg, Tilleul/Cathédrale",46.806136,7.161448,3134,364,6.07,401,6.68,OK
2025-12-18 15:00:00,8589138,"Fribourg, Cité-Jardins",46.809219,7.170362,8589161,"Fribourg, St-Pierre",46.803873,7.157458,3520,435,7.25,476,7.93,OK
2025-12-18 15:00:00,8589138,"Fribourg, Cité-Jardins",46.809219,7.170362,8592374,"Fribourg/Freiburg, Pl. Gare",46.803615,7.151538,3863,553,9.22,549,9.15,OK
2025-12-18 15:00:00,8589138,"Fribourg, Cité-Jardins",46.809219,7.170362,8589130,"Villars-sur-Glâne, Méridienne",46.794403,7.111792,8720,710,11.83,767,12.78,OK
2025-12-18 15:00:00,8589138,"Fribourg, Cité-Jardins",46.809219,7.170362,8589131,"Villars-sur-Glâne, Moncor",46.797789,7.119964,8035,630,10.5,685,11.42,OK
2025-12-18 15:00:00,8589138,"Fribourg, Cité-Jardins",46.809219,7.170362,8588344,"Villars-sur-Glâne, Belle-Croix",46.795775,7.124121,7975,672,11.2,715,11.92,OK
2025-12-18 15:00:00,8591766,"Fribourg, Boschung",46.811443,7.171201,8589141,"Fribourg, Chaley",46.805855,7.175769,2566,331,5.52,360,6.0,OK
2025-12-18 15:00:00,8591766,"Fribourg, Boschung",46.811443,7.171201,8589152,"Fribourg, Mon-Repos",46.806576,7.172542,2300,298,4.97,325,5.42,OK
2025-12-18 15:00:00,8591766,"Fribourg, Boschung",46.811443,7.171201,8589138,"Fribourg, Cité-Jardins",46.809219,7.170362,1899,245,4.08,270,4.5,OK
2025-12-18 15:00:00,8591766,"Fribourg, Boschung",46.811443,7.171201,8587255,"Fribourg, Tilleul/Cathédrale",46.806136,7.161448,2773,313,5.22,338,5.63,OK
2025-12-18 15:00:00,8591766,"Fribourg, Boschung",46.811443,7.171201,8589161,"Fribourg, St-Pierre",46.803873,7.157458,3160,385,6.42,412,6.87,OK
2025-12-18 15:00:00,8591766,"Fribourg, Boschung",46.811443,7.171201,8592374,"Fribourg/Freiburg, Pl. Gare",46.803615,7.151538,3503,503,8.38,487,8.12,OK
2025-12-18 15:00:00,8591766,"Fribourg, Boschung",46.811443,7.171201,8589130,"Villars-sur-Glâne, Méridienne",46.794403,7.111792,8359,660,11.0,703,11.72,OK
2025-12-18 15:00:00,8591766,"Fribourg, Boschung",46.811443,7.171201,8589131,"Villars-sur-Glâne, Moncor",46.797789,7.119964,7675,580,9.67,621,10.35,OK
2025-12-18 15:00:00,8591766,"Fribourg, Boschung",46.811443,7.171201,8588344,"Villars-sur-Glâne, Belle-Croix",46.795775,7.124121,7614,622,10.37,649,10.82,OK
2025-12-18 15:00:00,8587255,"Fribourg, Tilleul/Cathédrale",46.806136,7.161448,8589141,"Fribourg, Chaley",46.805855,7.175769,3767,450,7.5,500,8.33,OK
2025-12-18 15:00:00,8587255,"Fribourg, Tilleul/Cathédrale",46.806136,7.161448,8589152,"Fribourg, Mon-Repos",46.806576,7.172542,3500,417,6.95,463,7.72,OK
2025-12-18 15:00:00,8587255,"Fribourg, Tilleul/Cathédrale",46.806136,7.161448,8589138,"Fribourg, Cité-Jardins",46.809219,7.170362,3099,364,6.07,402,6.7,OK
2025-12-18 15:00:00,8587255,"Fribourg, Tilleul/Cathédrale",46.806136,7.161448,8591766,"Fribourg, Boschung",46.811443,7.171201,2959,344,5.73,378,6.3,OK
2025-12-18 15:00:00,8587255,"Fribourg, Tilleul/Cathédrale",46.806136,7.161448,8589161,"Fribourg, St-Pierre",46.803873,7.157458,387,71,1.18,78,1.3,OK
2025-12-18 15:00:00,8587255,"Fribourg, Tilleul/Cathédrale",46.806136,7.161448,8592374,"Fribourg/Freiburg, Pl. Gare",46.803615,7.151538,923,248,4.13,245,4.08,OK
2025-12-18 15:00:00,8587255,"Fribourg, Tilleul/Cathédrale",46.806136,7.161448,8589130,"Villars-sur-Glâne, Méridienne",46.794403,7.111792,4644,758,12.63,793,13.22,OK
2025-12-18 15:00:00,8587255,"Fribourg, Tilleul/Cathédrale",46.806136,7.161448,8589131,"Villars-sur-Glâne, Moncor",46.797789,7.119964,3960,678,11.3,712,11.87,OK
2025-12-18 15:00:00,8587255,"Fribourg, Tilleul/Cathédrale",46.806136,7.161448,8588344,"Villars-sur-Glâne, Belle-Croix",46.795775,7.124121,3899,721,12.02,734,12.23,OK
2025-12-18 15:00:00,8589161,"Fribourg, St-Pierre",46.803873,7.157458,8589141,"Fribourg, Chaley",46.805855,7.175769,4153,515,8.58,561,9.35,OK
2025-12-18 15:00:00,8589161,"Fribourg, St-Pierre",46.803873,7.157458,8589152,"Fribourg, Mon-Repos",46.806576,7.172542,3887,482,8.03,524,8.73,OK
2025-12-18 15:00:00,8589161,"Fribourg, St-Pierre",46.803873,7.157458,8589138,"Fribourg, Cité-Jardins",46.809219,7.170362,3485,429,7.15,466,7.77,OK
2025-12-18 15:00:00,8589161,"Fribourg, St-Pierre",46.803873,7.157458,8591766,"Fribourg, Boschung",46.811443,7.171201,3345,409,6.82,443,7.38,OK
2025-12-18 15:00:00,8589161,"Fribourg, St-Pierre",46.803873,7.157458,8587255,"Fribourg, Tilleul/Cathédrale",46.806136,7.161448,387,65,1.08,69,1.15,OK
2025-12-18 15:00:00,8589161,"Fribourg, St-Pierre",46.803873,7.157458,8592374,"Fribourg/Freiburg, Pl. Gare",46.803615,7.151538,531,176,2.93,173,2.88,OK
2025-12-18 15:00:00,8589161,"Fribourg, St-Pierre",46.803873,7.157458,8589130,"Villars-sur-Glâne, Méridienne",46.794403,7.111792,4252,686,11.43,715,11.92,OK
